"Артикул (SKU)";"ID товара";"Внутренний UID";Название;"Краткое описание";"Полное описание";Цена;Валюта;"В наличии";Количество;"Категория (основная)";"Все категории (через ;)";Галерея;Метка;Сертификат;"Главное фото";"Все фото (через |)";"Кол-во фото";"Длина (мм)";"Ширина (мм)";"Высота (мм)";"Вес (г)";"Это вариант";"Артикул родителя";"URL на сайте";"URL главного фото"
895429086532;895429086532;bIp5lxxIjxXL1San6GNh;"Квентин Тарантино";"Сценарий фильма «Криминальное чтиво» с автографом";"Сценарий фильма «Криминальное чтиво» с автографомКвентин Тарантино – культовый режиссер, сценарист и продюсер, чьи фильмы стали классикой мирового кинематографа. Его уникальный стиль, черный юмор и запоминающиеся диалоги покорили миллионы зрителей по всему миру.«Криминальное чтиво» – один из самых известных и влиятельных фильмов Квентина Тарантино, получивший множество наград и признание критиков. Его нелинейный сюжет, яркие персонажи и остроумные диалоги сделали его культовым фильмом, оказавшим огромное влияние на современный кинематограф.Сценарий фильма «Криминальное чтиво» с автографом Квентина Тарантино – это уникальный артефакт для поклонника кино, символ гения и творческой свободы. Он станет ценным экспонатом в коллекции и стильным украшением интерьера. Его можно разместить в кабинете, домашнем кинотеатре или комнате отдыха, создавая атмосферу творчества и вдохновения.Кому подойдёт: Поклонникам кино автографов, тем, кто ценит искусство и творчество.Повод: День рождения, подарок режиссеру, подарок сценаристу, подарок с характером.";300000;RUB;true;1;Кино;"Кино;Мужчине;Все RU;Режиссеры;Сценарии;Руководителю;Главная страница";"Времена года";;9522;https://stargift.ru/media/kventin_tarantino_1781458993.webp;https://stargift.ru/media/kventin_tarantino_1781458993.webp|https://stargift.ru/media/kventin_tarantino_9865679961_b3ad41.webp;2;600;50;450;;false;;https://stargift.ru/product/895429086532-kventin-tarantino;https://stargift.ru/media/kventin_tarantino_1781458993.webp
sg_1785415519_1989ffd2;sg_1785415519_1989ffd2;121774879972;"Анатолий Карпов";"Набор шахмат с автографом";"Анатолий Карпов – выдающийся советский и российский шахматист, двенадцатый чемпион мира по шахматам и международный гроссмейстер. Он удерживал титул чемпиона мира с 1975 по 1985 год, став символом шахматной эпохи. Карпов не только добился значительных успехов в шахматах, но и активно участвовал в политической жизни и благотворительности, способствуя популяризации шахмат на международной арене. Этот набор станет элегантным дополнением к любому интерьеру, подчеркивая статус и утонченность владельца. Он идеально впишется в кабинет, библиотеку или игровую комнату, создавая атмосферу интеллектуального досуга.";0;RUB;true;1;"Все RU";"Все RU;Спорт;Шахматы;Новинки;Мужчине;День рождения;Руководителю;Бизнесмену";Гименей;;;https://stargift.ru/media/anatoliy_karpov_1785415519.webp;https://stargift.ru/media/anatoliy_karpov_1785415519.webp|https://stargift.ru/media/anatoliy_karpov_4155206099_191c4a.webp|https://stargift.ru/media/anatoliy_karpov_4155210785_8b8af4.webp|https://stargift.ru/media/anatoliy_karpov_4155216024_69c34c.webp|https://stargift.ru/media/anatoliy_karpov_4155219164_428090.webp|https://stargift.ru/media/anatoliy_karpov_4155222339_ace641.webp|https://stargift.ru/media/anatoliy_karpov_4155226699_2e18db.webp;7;215;65;120;;false;;https://stargift.ru/product/sg_1785415519_1989ffd2-anatoliy-karpov;https://stargift.ru/media/anatoliy_karpov_1785415519.webp
sg_1775053409_916d8ee0;sg_1775053409_916d8ee0;296088843593;"Испытательный комплект для командного модуля «Аполлон»";"Испытательный комплект пиротехнических цепей";"В коллекции Stargift представлен исключительный артефакт золотого века космонавтики — специализированный испытательный комплекс для командного модуля легендарной программы «Аполлон». Этот прибор представляет собой Squib Test Set — высокоточный тестер, предназначенный для финальной проверки критически важных пиротехнических цепей космического корабля перед стартом. В условиях реального полета именно эти цепи отвечали за безупречное срабатывание пиропатронов, необходимых для отделения ступеней ракеты и, что самое важное, раскрытия парашютных систем при возвращении астронавтов на Землю. Фактически перед нами устройство, выступавшее высшим гарантом безопасности экипажа и успеха всей лунной миссии. Созданный в конце 1960-х годов, тестер является редчайшим образцом контрольно-испытательной аппаратуры эпохи ранней космической инженерии и технологической гонки сверхдержав. Приборы такого класса разрабатывались с учетом строжайших военно-аэрокосмических спецификаций, не допускавших ни малейшей погрешности. Уникальность лота подчеркивается тем фактом, что подобная техника зачастую списывалась или уничтожалась сразу после завершения программ, что делает сохранившиеся до наших дней экземпляры настоящей музейной редкостью. Каждая деталь этого комплекса хранит в себе энергетику величайших открытий и грандиозного прорыва человечества за пределы земной атмосферы. Это не просто сложный измерительный прибор, а подлинный свидетель тех дней, когда человек впервые коснулся лунной поверхности. Обладание таким экспонатом — это возможность занять место в ряду хранителей истории покорения Вселенной и прикоснуться к триумфу человеческого гения.";2000000;RUB;true;1;"Все RU";"Все RU;Новинки;Вещи;Наука;Другое - Общее;Бизнесмену;Мужчине;Эксклюзив;23 февраля;Космос;Дороже 1 млн.р.;День космонавтики;Учителю;Бизнес и индустрия";"Времена года";;9524;https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053453.webp;https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053453.webp|https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053614.webp|https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053623.webp|https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053628.webp;4;400;250;250;;false;;https://stargift.ru/product/sg_1775053409_916d8ee0-ispytatelnyy-komplekt-dlya-komandnogo-modulya-apollon;https://stargift.ru/media/ispytatelnyy_komplekt_dlya_komandnogo_modulya_apollon_1775053453.webp
sg_1775120825_0161b814;sg_1775120825_0161b814;279948267286;"Новак Джокович";"Фото с автографом";"Фото с автографом";0;RUB;true;1;Спорт;"Спорт;Мужчине;Руководителю;Все RU;Теннис";"Времена года";;9528;https://stargift.ru/media/novak_dzhokovich_1775120825.webp;https://stargift.ru/media/novak_dzhokovich_1775120825.webp|https://stargift.ru/media/novak_dzhokovich_1775120826.webp;2;250;1;200;;false;;https://stargift.ru/product/sg_1775120825_0161b814-novak-dzhokovich;https://stargift.ru/media/novak_dzhokovich_1775120825.webp
sg_1785415269_e9eb0ca1;sg_1785415269_e9eb0ca1;156376440603;"Анатолий Карпов";"Шахматные часы с автографом";"Шахматные часы с автографом Анатолий Карпов — выдающийся советский и российский шахматист, двенадцатый чемпион мира по шахматам, международный гроссмейстер и заслуженный мастер спорта СССР. Его шахматная карьера началась с раннего детства, и он стал одним из величайших игроков в истории. Карпов известен своим стратегическим стилем игры, великолепным позиционным чувством и умением терпеливо добиваться победы. Анатолий Карпов удерживал титул чемпиона мира с 1975 по 1985 год и стал символом целой шахматной эпохи. После завершения карьеры он активно занимается общественной деятельностью и популяризацией шахмат. Этот предмет станет прекрасным дополнением кабинета, библиотеки или игрового зала. Он напомнит о великих шахматных баталиях и вдохновит на новые победы.";0;RUB;true;1;Спорт;"Спорт;Все RU;Новинки;Шахматы;Руководителю;Бизнес";Гименей;;;https://stargift.ru/media/anatoliy_karpov_1785415269.webp;https://stargift.ru/media/anatoliy_karpov_1785415269.webp|https://stargift.ru/media/anatoliy_karpov_4152699755_ed6624.webp|https://stargift.ru/media/anatoliy_karpov_4152703764_7886ba.webp;3;215;65;120;;false;;https://stargift.ru/product/sg_1785415269_e9eb0ca1-anatoliy-karpov;https://stargift.ru/media/anatoliy_karpov_1785415269.webp
sg_1775121133_e15558cb;sg_1775121133_e15558cb;822244210485;"Пост Малон";"Фото с автографом";"Фото с автографом Пост Малон — выдающийся американский музыкант, известный своим уникальным стилем, который объединяет хип-хоп, поп, кантри и рок. С момента выхода его дебютного сингла White Iverson в 2015 году он завоевал признание и стал одной из самых ярких фигур на мировой музыкальной сцене, выпустив такие хиты, как Rockstar, Circles и Sunflower. Его творчество отличается глубиной текстов, оригинальностью мелодий и выразительным вокалом.Международная сертификация Beckett — BK73247";0;RUB;true;1;Музыка;"Музыка;Мужчине;Женщине;Новинки;Все RU;Поп-музыка";"Времена года, Dream House";;9529;https://stargift.ru/media/post_meloun_1775121133.webp;https://stargift.ru/media/post_meloun_1775121133.webp|https://stargift.ru/media/post_meloun_1775121134.webp|https://stargift.ru/media/post_meloun_1775121135.webp;3;250;1;200;;false;;https://stargift.ru/product/sg_1775121133_e15558cb-post-malon;https://stargift.ru/media/post_meloun_1775121133.webp
sg_1775123595_2e4d32c6;sg_1775123595_2e4d32c6;619924451411;"Эд Ширан";"Диск с автографом";"Диск «Equals» с автографомЭд Ширан — английский певец, автор песен и музыкант, обладающий статусом одного из самых высокооплачиваемых исполнителей современности.С раннего детства Эд проявлял интерес к музыке, участвуя в хоре при местной церкви. Вдохновленный концертами, на которых его водили родители, он освоил гитару и продолжил развивать свои таланты, что в конечном итоге привело к успешной карьере.Такое произведение станет изысканным дополнением к интерьерам, где ценится музыкальное искусство и индивидуальность.Международная сертификация подлинности JSA — AE59740";0;RUB;true;1;Поп-музыка;"Поп-музыка;Музыка;Женщине;Все RU;Соул;14 февраля;8 марта;Свадьба;Новинки";"Времена года";;9530;https://stargift.ru/media/ed_shiran_1775123595.webp;https://stargift.ru/media/ed_shiran_1775123595.webp|https://stargift.ru/media/ed_shiran_1775123597.webp;2;120;3;120;;false;;https://stargift.ru/product/sg_1775123595_2e4d32c6-ed-shiran;https://stargift.ru/media/ed_shiran_1775123595.webp
sg_1775154674_ec2a83f5;sg_1775154674_ec2a83f5;825352732275;"Лионель Месси";"Футболка ФК «Барселона» с автографом";"Футболка ФК «Барселона» с автографомЛионель Месси — аргентинский футболист, чемпион мира, нападающий футбольного клуба «ПСЖ», с 2011 года — капитан национальной сборной Аргентины. Лучший бомбардир в истории ФК «Барселона» и сборной Аргентины. Первый контракт Месси с футбольным клубом «Барселона» был подписан на бумажной салфетке. Спортивный директор клуба Карлес Рексач был настолько впечатлен талантом юного Месси, что поспешил заключить договор сию же минуту, а бумаги под рукой не оказалось. В возрасте 11 лет врачи диагностировали у спортсмена дефицит гормона роста, который замедлял нормальное развитие ребенка. Его родители не могли позволить себе оплачивать лечение самостоятельно. Впоследствии клуб оплатил лечение мальчика.Международная сертификация подлинности Beckett";650000;RUB;true;1;Вещи;"Вещи;Все RU;Мужчине;Ребенку;Руководителю;Спорт;Футбол";;;;https://stargift.ru/media/lionel_messi_1780484813.webp;https://stargift.ru/media/lionel_messi_1780484813.webp|https://stargift.ru/media/lionel_messi_1775154706.webp;2;796;48;1055;;false;;https://stargift.ru/product/sg_1775154674_ec2a83f5-lionel-messi;https://stargift.ru/media/lionel_messi_1780484813.webp
sg_1775231822_bc418ee3;sg_1775231822_bc418ee3;188500134721;"Владимир Набоков";"Собственноручный рисунок Владимир Набоков — выдающийся писатель, поэт, переводчик и литературовед, оставивший значительный след в мировой культуре. Родился в 1899 году в Санкт-Петербурге в аристократической семье. После революции эмигрировал, проживая в Германии, Франции, а затем в США и Швейцарии. Наиболее известен своими произведениями, такими как «Лолита», «Защита Лужина», «Дар» и «Ада», отличающимися утончённым стилем, сложной структурой и игрой слов. Помимо литературной деятельности, Набоков был страстным энтомологом, посвятившим годы изучению бабочек и сделавшим вклад в лепидоптерологию. P. Hector, изображённый на рисунке, является видом, также известным как «Красный парусник», распространённым в Индии и на Шри-Ланке. Он отличается ярко-красными пятнами на тёмных крыльях, что делает его особенно заметным среди растительности. На рисунке Набокова видно его внимание к деталям: он тщательно прорисовывал изгибы крыльев и узоры, показывая свою глубокую любовь к этому виду искусства. В 1967 году, когда Набоков уже жил в Швейцарии, он продолжал писать статьи о бабочках для научных журналов и консультировать сотрудников Американского музея естественной истории, где до сих пор хранятся его коллекции.";"Собственноручный рисунок Владимир Набоков — выдающийся писатель, поэт, переводчик и литературовед, оставивший значительный след в мировой культуре. Родился в 1899 году в Санкт-Петербурге в аристократической семье. После революции эмигрировал, проживая в Германии, Франции, а затем в США и Швейцарии. Наиболее известен своими произведениями, такими как «Лолита», «Защита Лужина», «Дар» и «Ада», отличающимися утончённым стилем, сложной структурой и игрой слов. Помимо литературной деятельности, Набоков был страстным энтомологом, посвятившим годы изучению бабочек и сделавшим вклад в лепидоптерологию. P. Hector, изображённый на рисунке, является видом, также известным как «Красный парусник», распространённым в Индии и на Шри-Ланке. Он отличается ярко-красными пятнами на тёмных крыльях, что делает его особенно заметным среди растительности. На рисунке Набокова видно его внимание к деталям: он тщательно прорисовывал изгибы крыльев и узоры, показывая свою глубокую любовь к этому виду искусства. В 1967 году, когда Набоков уже жил в Швейцарии, он продолжал писать статьи о бабочках для научных журналов и консультировать сотрудников Американского музея естественной истории, где до сих пор хранятся его коллекции.";2000000;RUB;true;1;Писатели;"Писатели;Все RU;Литература;Женщине;8 марта;14 февраля;История;Дороже 1 млн.р.;Поэты;Санкт-Петербург;День Санкт-Петербурга";;;;https://stargift.ru/media/vladimir_nabokov_1775231907.webp;https://stargift.ru/media/vladimir_nabokov_1775231907.webp|https://stargift.ru/media/vladimir_nabokov_1775231920.webp|https://stargift.ru/media/vladimir_nabokov_1775231925.webp;3;500;30;390;;false;;https://stargift.ru/product/sg_1775231822_bc418ee3-vladimir-nabokov;https://stargift.ru/media/vladimir_nabokov_1775231907.webp
sg_1775381744_c323faf0;sg_1775381744_c323faf0;908510060495;"Михаил Кутузов";"Книга с автографом";"Книга с автографомМихаил Илларионович Голенищев-Кутузов — выдающийся русский полководец, главнокомандующий русской армией во время Отечественной войны 1812 года. На момент выхода издания книги ему было примерно 35–37 лет. Тогда Кутузов уже был боевым офицером, участником русско-турецких войн, но его главные победы, включая Бородинское сражение, были ещё впереди. В коллекции Stargift представлена старинная книга — «Œuvres de M. Gessner, Tome Second», второй том полного собрания сочинений знаменитого швейцарского поэта, художника и гравёра Саломона Гесснера, изданный на французском языке. Издание относится к так называемому типу «Казен» (Cazin) — оно выпущено в Лондоне без имени издателя и без даты на титульном листе. Это было характерно для книгопечатания 1780–1782 годов. Украшением тома служит гравированный фронтиспис с изображением козы, водопада и цветов — классический образец пасторальной эстетики. В нижней части гравюры можно видеть подписи «Marillier inv.» (рисунок художника Клемана Пьера Марилье) и «R. Delvaux sculp.» (гравюра Р. Дельво).Это собрание сочинений считается одним из наиболее художественно совершенных: оно включает портрет автора, три гравированных титульных листа и 14 иллюстраций по рисункам Клеман-Пьера Марилье, что делает эту книгу не только литературным памятником, но и подлинным произведением книжного искусства эпохи Просвещения.";5000000;RUB;true;1;"23 февраля";"23 февраля;Великие деятели России;Все RU;День рождения;День России;Дороже 1 млн.р.;Другое история;История;Книги;Мужчине;Новинки;Россия (общий);Россия;Эксклюзив";Гименей;;;https://stargift.ru/media/mikhail_kutuzov_1780315962.webp;https://stargift.ru/media/mikhail_kutuzov_1780315962.webp|https://stargift.ru/media/mikhail_illarionovich_golenishchev-kutuzov_1775381744.webp|https://stargift.ru/media/mikhail_illarionovich_golenishchev-kutuzov_1775381745.webp|https://stargift.ru/media/mikhail_illarionovich_golenishchev-kutuzov_1775381747.webp|https://stargift.ru/media/mikhail_illarionovich_golenishchev-kutuzov_1775381748.webp;5;76;17;123;;false;;https://stargift.ru/product/sg_1775381744_c323faf0-mikhail-kutuzov;https://stargift.ru/media/mikhail_kutuzov_1780315962.webp
