Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Лионель Месси — мяч чемпионата мира 2022 года с автографом;Мяч чемпионата мира 2022 с подписью Месси;Финал чемпионата мира 2022 года в Лусаиле — матч, которым завершилась главная незакрытая история мирового футбола: Месси забил дважды, Аргентина выиграла по пенальти, а он получил «Золотой мяч» лучшего игрока турнира. Мяч именно этого чемпионата привязывает автограф к конкретному событию, а не к карьере вообще, — и это принципиальная разница между сюжетным предметом и просто именным. Из всех форматов автографа мяч турнира читается зрителем быстрее всего: узнаваемая графика панелей работает как дата. В экспозиции такой предмет естественно становится центром аргентинской витрины. Международная сертификация подлинности: Beckett/BAS.;950000;RUB;Beckett/BAS;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/rOEAAeSwKhRqKbiD/s-l500.webp;3999.95;https://www.ebay.com/itm/206337347539;"Мяч на подставке, подпись фронтально по центру; отдельно — ракурс, где в кадр попадает и автограф, и характерная графика мяча чемпионата мира 2022 года. Макро подписи. Рядом на слайде — архивный кадр финала в Лусаиле: Месси с трофеем или момент празднования."
Лионель Месси — полноразмерная реплика Кубка мира с автографом;Полноразмерная реплика Кубка мира с подписью;Это полноразмерная реплика трофея чемпионата мира — не оригинальный кубок ФИФА, который не покидает распоряжения федерации, — с личным автографом Лионеля Месси. Для витрины предмет решает задачу, недоступную ни футболке, ни мячу: он даёт объём, высоту и мгновенно узнаваемый силуэт, вокруг которого строится вся остальная экспозиция. Смысловая точность здесь полная: Месси — чемпион мира 2022 года и лучший игрок того турнира, то есть человек, чья подпись на этом силуэте абсолютно уместна. Позиция статусная и подаётся как центральный объект зала, а не как рядовой лот подборки. Международная сертификация подлинности: Beckett/BAS.;750000;RUB;Beckett/BAS;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/cRsAAeSw529qXtqA/s-l500.webp;1800.0;https://www.ebay.com/itm/398197550629;Съёмка на тёмном фоне с направленным светом — золото должно дать блики, но не пересветы: фронтальный кадр в полный рост, кадр в три четверти и вид сверху на чашу. Отдельный крупный план автографа на постаменте или на корпусе. Рядом на слайде — архивное фото Месси, поднимающего Кубок мира в Лусаиле, в схожем ракурсе с предметом.
«Барселона» 2009 — командный мяч с автографами, включая Лионеля Месси;Командный мяч «Барселоны» с 15+ автографами;Мяч Adidas UEFA Supercup Monaco подписан составом «Барселоны» сезона 2009/10 — той команды Пепа Гвардиолы, которая в 2009 году выиграла все шесть возможных трофеев: чемпионат Испании, Кубок Испании, Лигу чемпионов, Суперкубок Испании, Суперкубок УЕФА и клубный чемпионат мира. На мяче более пятнадцати автографов: Лионель Месси, Андрес Иньеста, Хави, Жерар Пике, Серхио Бускетс, Самуэль Это'О, Дани Алвес, Рафаэль Маркес, Хосе Мануэль Пинто, Педро, Сейду Кейта, Максвелл и другие игроки состава. Ценность предмета именно в этом: одиночный автограф говорит об игроке, командный мяч фиксирует целую команду в момент её исторического пика, и собрать такой набор подписей задним числом уже невозможно. Модель мяча отсылает к Суперкубку УЕФА, который «Барселона» выиграла в Монако в августе 2009 года — то есть к самому трофею, замкнувшему шестёрку. Международная сертификация подлинности: JSA (ZZ81110).;2400000;RUB;JSA;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/YJcAAeSwcLlqKvF4/s-l225.jpg;9995.0;https://www.ebay.com/itm/127916588455?_skw=Barcelona+team+signed+soccer+ball&hash=item1dc86c3da7:g:YJcAAeSwcLlqKvF4;Обязательно снять мяч по кругу — минимум четыре ракурса с поворотом, чтобы на слайде читались все панели с подписями, ни один автограф не должен остаться «за кадром». Отдельные макро-кадры ключевых подписей: Месси, Иньеста, Хави, Это'О. На слайде рядом — схема-развёртка с указанием, где чья подпись (это главный аргумент лота), и архивное фото «Барселоны» 2009 года с трофеем Лиги чемпионов или Суперкубка УЕФА в Монако.
Лионель Месси — гостевая футболка «Барселоны» 2008–2010 с автографом;Гостевая футболка «Барселоны» эпохи требла;Гостевая форма «Барселоны» образца 2008–2010 годов — это ткань эпохи Пепа Гвардиолы, когда команда выиграла требл 2009 года и переопределила представления о том, как может выглядеть клубный футбол. Именно в эти сезоны Лионель Месси окончательно вышел на первый план: «Золотой мяч» 2009 года стал первым из восьми, а «Барселона» с ним взяла четыре Лиги чемпионов и десять чемпионств Испании. Выездной комплект ценен тем, что редко попадает в собрания: коллекционеры почти всегда начинают с домашней сине-гранатовой формы, и гостевая версия остаётся заметно менее представленной. Предмет привязан не к абстрактной карьере, а к конкретному и лучшему периоду клуба. Международная сертификация подлинности: Icons.;650000;RUB;Icons;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/CKAAAeSwNwVqVr5I/s-l1600.jpg;1099.99;https://www.ebay.com/itm/366542984181;Футболка на манекене или в раскладке на ровном фоне — фронтальный кадр целиком, чтобы читались цвет и клубная эмблема. Обязателен крупный план автографа с указанием, по какому участку ткани он идёт. Дополнительно — деталь герба и нашивок. Рядом на слайде — архивный кадр Месси в гостевой форме «Барселоны» сезона 2008/09 или 2009/10.
Лионель Месси — домашняя футболка сборной Аргентины №10 с автографом;Футболка сборной Аргентины с десятым номером;Бело-голубая футболка с десятым номером — самый узнаваемый предмет аргентинского футбола, номер, перешедший к Месси по прямой линии от Диего Марадоны. В этой форме он выиграл Кубок Америки 2021 года, чемпионат мира 2022 года с «Золотым мячом» лучшего игрока турнира и Кубок Америки 2024 года, оставшись лучшим бомбардиром в истории сборной. Для собрания это опорная позиция: если в музее должен быть один предмет Месси, то именно такой — сборная, десятка, автограф на лицевой стороне. Сертификация сопровождается развёрнутым письмом эксперта, а не только номерным стикером, что для предметов этого уровня существенно. Международная сертификация подлинности: Beckett/BAS Full Letter (LOA).;650000;RUB;Beckett/BAS Full Letter;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/YOoAAeSw8KNqXZDF/s-l500.webp;1999.0;https://www.ebay.com/itm/137531064006;Фронтальный кадр футболки целиком (манекен или профессиональная раскладка), затем крупный план автографа и отдельный кадр номера 10 со спины, если он есть на предмете. Обязательно сфотографировать само письмо-сертификат Beckett Full Letter — это часть ценности лота. Рядом на слайде — архивный кадр Месси с Кубком мира 2022 года.
Лионель Месси — футбольный мяч с автографом;Мяч с личной подписью Лионеля Месси;Лионель Месси — восьмикратный обладатель «Золотого мяча», чемпион мира 2022 года и двукратный победитель Кубка Америки (2021, 2024). За годы в «Барселоне» он выиграл десять чемпионатов Испании и четыре Лиги чемпионов, стал лучшим бомбардиром в истории клуба и в истории Ла Лиги, а в 2012 году установил до сих пор непревзойдённый рекорд — 91 гол за календарный год. Мяч — самая прямая и самая читаемая форма футбольного автографа: подпись ложится на белую панель целиком, её видно с любой точки витрины, и предмет не требует расшифровки для зрителя. Для собрания, где Месси представлен впервые, это спокойная и убедительная стартовая позиция. Международная сертификация подлинности: Fanatics.;600000;RUB;Fanatics;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/HjsAAeSwwgpqSDql/s-l1600.jpg;1399.0;https://www.ebay.com/itm/198473677309;Основной кадр — мяч на прозрачной подставке, подпись строго по центру, свет мягкий боковой, фон нейтральный светло-серый. Второй кадр — макро подписи под углом, чтобы читался рельеф чернил на коже панели. Третий ракурс — мяч в три четверти, для ощущения объёма. Рядом на слайде — архивное фото Месси в момент удара или празднования гола, крупный план.
Лионель Месси — бутса сборной Аргентины с автографом;Бутса в цветах сборной Аргентины с подписью;Со сборной Аргентины Лионель Месси прошёл путь от поражения в финале чемпионата мира 2014 года до титула чемпиона мира в 2022-м, где он был признан лучшим игроком турнира. Он лучший бомбардир и самый титулованный игрок в истории аргентинской национальной команды, победитель Кубка Америки 2021 и 2024 годов. Обувь — предмет, ближе всего стоящий к самому действию игры, и в коллекционном обороте бутсы появляются заметно реже футболок и мячей, что делает формат более редким при сопоставимой узнаваемости. Бело-голубая гамма Аргентины считывается мгновенно и хорошо работает в витрине рядом с формой сборной. Международная сертификация подлинности: BAS.;600000;RUB;BAS;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/0Z0AAeSwc5lqVfd3/s-l1600.jpg;976.36;https://www.ebay.com/itm/306080293839;Съёмка на белом фоне с лёгкой тенью: боковой профиль бутсы (сторона с подписью), вид сверху на всю колодку и деталь пятки. Отдельный макро-кадр автографа с боковины — подпись должна читаться по буквам. Рядом на слайде — архивный кадр Месси в форме сборной Аргентины, желательно эпизод чемпионата мира 2022 года.
Лионель Месси — бутса Adidas «Барселоны» (левая) с автографом;Бутса Adidas в клубной гамме с автографом;Adidas сопровождает Лионеля Месси практически всю профессиональную карьеру, и его бутсы — отдельная линия, узнаваемая по колодке и посадке не меньше, чем форма. Предмет относится к периоду «Барселоны» — клуба, где Месси выиграл четыре Лиги чемпионов, десять чемпионатов Испании и первые «Золотые мячи», став лучшим бомбардиром и клуба, и всего чемпионата Испании. Обувь ценна как предмет, физически ближайший к игре, и как редкий формат: подписанных бутс на рынке кратно меньше, чем футболок. В паре с бутсой в цветах сборной Аргентины эта позиция даёт витрину из двух половин одной карьеры — клубной и национальной. Международная сертификация подлинности: Beckett Letter.;600000;RUB;Beckett Letter;ЛИОНЕЛЬ МЕССИ;;https://i.ebayimg.com/images/g/KegAAOSwpWNjcCfO/s-l500.webp;2499;https://www.ebay.com/itm/325470806502;Боковой профиль бутсы со стороны подписи, вид сверху и деталь задника — фон белый или графитовый, тень мягкая. Макро автографа обязательно. На слайде показать эту бутсу и бутсу сборной Аргентины в одном кадре — как парную позицию. Рядом — архивный кадр Месси в форме «Барселоны», нижний план с акцентом на обувь.
Пеле — футболка «Сантос» с автографом;Клубный цвет короля футбола, сертификат Beckett;Эдсон Арантис ду Насименту, известный миру как Пеле, остаётся единственным футболистом, трижды выигравшим чемпионат мира — в 1958, 1962 и 1970 годах. Почти вся его карьера прошла в бразильском «Сантосе», куда он пришёл пятнадцатилетним и с которым взял два Кубка Либертадорес и два Межконтинентальных кубка в 1962 и 1963 годах. Белая футболка «Сантоса» — именно тот образ, в котором Пеле провёл основную часть жизни в футболе, и потому подписанный клубный джерси ценится наравне со сборными предметами, а встречается заметно реже. Автограф нанесён на лицевую сторону и сохраняет характерный размашистый росчерк позднего периода. Международная сертификация подлинности: Beckett (BAS hologram).;500000;RUB;Beckett;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/cHEAAeSwP39o8rW9/s-l1600.jpg;787.5;https://www.ebay.com/itm/127437364279;Фронтальный кадр футболки целиком на манекене или на плоскости, чтобы читались клубный герб и номер. Отдельный макрокадр автографа с боковой подсветкой — так видно рельеф маркера на ткани. Третьим кадром — голограмма Beckett крупно. Рядом уместен архивный снимок Пеле в форме «Сантоса» 1960-х годов, лучше игровой момент, а не постановочный портрет.
Альфредо Ди Стефано — фотография «Реал Мадрид» с автографом;Архитектор первого великого «Реала»;Альфредо Ди Стефано был центральной фигурой «Реал Мадрид», выигравшего пять первых розыгрышей Кубка европейских чемпионов подряд, с 1956 по 1960 год, — и забивал в каждом из этих пяти финалов. Дважды обладатель «Золотого мяча», в 1957 и 1959 годах, он пять раз становился лучшим бомбардиром чемпионата Испании и определил саму манеру игры мадридского клуба на десятилетия вперёд. Предметы с автографами футболистов его поколения выходят на международный рынок редко: Ди Стефано ушёл из жизни в 2014 году, и круг подтверждённых подписаний закрыт окончательно. Подписанная фотография в форме «Реала» — прямое свидетельство эпохи, с которой начинается история европейских клубных турниров. Международная сертификация подлинности: PSA.;500000;RUB;PSA;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/eycAAeSwYbhp7NWi/s-l1600.jpg;1199.99;https://www.ebay.com/itm/236778736048;Фотографию снимать фронтально, без отражений, с сохранением тона оригинальной печати — не выбеливать. Крупный план автографа с указанием, что подпись нанесена поверх изображения. Отдельный кадр сертификационного ярлыка PSA. Рядом стоит поставить архивный кадр финала Кубка европейских чемпионов 1960 года в Глазго или групповой снимок того состава «Реала».
