Название;Тип;Закупка USD;Сертификат;Комментарий;eBay URL;URL фото
The Rock Dwayne Johnson Autograph Cut Card Signed PSA DNA Beckett Auto WWE WWF;Автограф-карта (слаб);495.99;PSA/DNA + Beckett;СО СКРИНА · cut card в капсуле, подпись The Rock синим;https://www.ebay.com/itm/117032742244;https://i.ebayimg.com/images/g/eAYAAeSwWahpjU3K/s-l1600.jpg
Dwayne Johnson The Rock Signed Autographed 2000 Rolling Stone Magazine PSA/DNA;Журнал;399.95;PSA/DNA;СО СКРИНА · Rolling Stone 2000, обложка «Rock Hard»;https://www.ebay.com/itm/389902208834;https://i.ebayimg.com/images/g/7VEAAeSwH6xoZAw3/s-l1600.jpg
Dwayne Johnson The Rock Signed Autograph 1990’s WWE 8x10 Photo PSA/DNA Encased;Фотография (капсула);359.95;PSA/DNA;СО СКРИНА · коллаж WWE 1990-х в капсуле PSA;https://www.ebay.com/itm/800227782560;https://i.ebayimg.com/images/g/LVMAAeSwQZpqOccY/s-l1600.jpg
THE ROCK DWAYNE JOHNSON AUTOGRAPH SIGNED 8X10 PHOTO WWF ROCKY MAIVIA JSA;Фотография;399.95;JSA;СО СКРИНА · Rocky Maivia «The People's Champ», ранний WWF;https://www.ebay.com/itm/198406732121;https://i.ebayimg.com/images/g/gRUAAeSw7udqJEwI/s-l1600.jpg
Dwayne Johnson Signed Autograph 11X14 Photo The Rock Fast Five Hobbs BAS AE63949;Фотография 28×36;999.99;Beckett;СО СКРИНА · Форсаж-5, Люк Хоббс;https://www.ebay.com/itm/137565462530;https://i.ebayimg.com/images/g/TZwAAeSwQ7dqaqBE/s-l1600.jpg
Dwayne Johnson Signed Autograph 11X14 Photo The Rock Fast Five Hobbs JSA ZZ48221;Фотография 28×36;999.99;JSA;СО СКРИНА · Форсаж-5, второй кадр;https://www.ebay.com/itm/366573605302;https://i.ebayimg.com/images/g/LRoAAeSwK8xqap~K/s-l1600.jpg
Dwayne Johnson The Rock Signed Autograph 8x10 Helldorado Promo Photo Beckett COA;Фотография;399.95;Beckett;СО СКРИНА · промо Helldorado · ВНИМАНИЕ: на фото посвящение «To Melanie» — уточнить;https://www.ebay.com/itm/388366598188;https://i.ebayimg.com/images/g/gnUAAeSwwDZoF3dS/s-l1600.jpg
Dwayne Johnson  The Rock Signed 1998 Duocards WWF Wrestling Card BGS Authentic;Карточка 1998 (слаб);1495.0;Beckett (BGS);СО СКРИНА · Duocards 1998, рукки-эпоха WWF;https://www.ebay.com/itm/125581511124;https://i.ebayimg.com/images/g/JU0AAOSwEYZjWYRV/s-l1600.jpg
Dwayne Johnson The Rock Signed Autograph 8x11 Photo - Original WWF Promo PSA COA;Фотография;2499.95;PSA;СО СКРИНА · оригинальное промо WWF, крупная подпись;https://www.ebay.com/itm/126923117215;https://i.ebayimg.com/images/g/lDcAAOSweO5no9gx/s-l1600.jpg
2001 Inkworks Mummy Returns The Rock Dwayne Johnson 1/1 | PSA/DNA Autograph Card;Карточка кино 1/1 (слаб);3000.0;PSA/DNA;«Мумия возвращается» 2001, Inkworks, тираж 1 из 1 — топ-лот;https://www.ebay.com/itm/157343020710;https://i.ebayimg.com/images/g/0akAAeSwvsBo0vzn/s-l1600.jpg
The Rock Dwayne Johnson 1998 WWF Superstarz Rookie Autograph WWE PSA Final Boss;Рукки-автограф 1998 (слаб);2749.99;PSA;WWF Superstarz Rookie Autograph — первая автограф-карта Рока;https://www.ebay.com/itm/144232629266;https://i.ebayimg.com/images/g/VDwAAOSwbXFjRzct/s-l1600.jpg
THE ROCK Autograph 2012 WWE Topps PSA Signed On Card Auto Raw Superstar #87;Карточка Topps 2012 (слаб);995.99;PSA;подпись на карте, эпоха возвращения в WWE;https://www.ebay.com/itm/117032742364;https://i.ebayimg.com/images/g/dXcAAeSwmBVpjUyx/s-l1600.jpg
DWAYNE JOHNSON THE ROCK BLACK ADAM SIGNED AUTOGRAPHED FUNKO POP-BAS BECKETT LOA;Фигурка Funko Pop;2999.99;Beckett;Чёрный Адам — подписанный бокс;https://www.ebay.com/itm/204227606842;https://i.ebayimg.com/images/g/-qEAAOSwZERj1j8P/s-l1600.jpg
DWAYNE JOHNSON THE ROCK JUMANJI SIGNED AUTOGRAPHED FUNKO POP-BAS BECKETT LOA COA;Фигурка Funko Pop;2599.99;Beckett;Джуманджи — подписанный бокс;https://www.ebay.com/itm/204227607275;https://i.ebayimg.com/images/g/I~IAAOSweV5j1j~h/s-l1600.jpg
DWAYNE JOHNSON  MAUI # 214  Signed Funko Pop Beckett LOA;Фигурка Funko Pop;1250.0;Beckett;Мауи из «Моаны» — семейный формат, голос героя;https://www.ebay.com/itm/188338034645;https://i.ebayimg.com/images/g/vK8AAeSwJy5p9Uwx/s-l1600.jpg
Dwayne The Rock Johnson Signed The Rock Says Book JSA LOA Autograph WWE WWF;Книга;699.0;JSA;автобиография The Rock Says с подписью;https://www.ebay.com/itm/136831622627;https://i.ebayimg.com/images/g/AwUAAeSwfWJpNkfN/s-l1600.jpg
WWE The Rock Signed Dwayne Johnson Autographed VHS Tape WWF Final Boss - JSA LOA;VHS-кассета;595.0;JSA;подписанная кассета WWF — редкий формат 90-х;https://www.ebay.com/itm/178154929657;https://i.ebayimg.com/images/g/1nEAAeSwYHpoY3ho/s-l1600.jpg
"The Rock Dwayne Johnson Signed 12 x 27.5 ""The Game Plan"" Movie Poster JSA LOA";Киноафиша 30×70;599.99;JSA;The Game Plan, подписанный постер;https://www.ebay.com/itm/365905928755;https://i.ebayimg.com/images/g/J~IAAeSw469o49Um/s-l1600.jpg
Dwayne Johnson The Rock Signed Autographed 11x17 WWE Promo Poster Beckett LOA;Постер WWE 28×43;399.95;Beckett;промо-постер WWE;https://www.ebay.com/itm/388048450609;https://i.ebayimg.com/images/g/UCcAAeSwjX9nwnrc/s-l1600.jpg
The Rock Signed Nintendo Power Poster PSA Cert Scorpion King Dwayne Johnson WWE;Постер Nintendo Power;229.99;PSA;Царь скорпионов, игровая эпоха;https://www.ebay.com/itm/267711955601;https://i.ebayimg.com/images/g/-EsAAeSw9gVqQUrj/s-l1600.jpg
THE ROCK SIGNED WWF MAGAZINE WWE WRESTLING AUTOGRAPH JSA LOA DWAYNE JOHNSON AUTO;Журнал WWF;1499.99;JSA;обложка WWF Magazine;https://www.ebay.com/itm/226979529522;https://i.ebayimg.com/images/g/~30AAOSwOjdjm8~m/s-l1600.jpg
"Dwayne ""The Rock"" Johnson Signed World Of Wrestling Magazine PSA/DNA #AM04672";Журнал;599.99;PSA/DNA;World of Wrestling;https://www.ebay.com/itm/135011597829;https://i.ebayimg.com/images/g/ILoAAeSwyuRqHcqC/s-l1600.jpg
"Dwayne ""The Rock"" Johnson Signed Scorpion King Photo BAS Slabbed Autograph";Фотография (слаб);1499.99;Beckett;Царь скорпионов — первый большой фильм;https://www.ebay.com/itm/256068298922;https://i.ebayimg.com/images/g/eWQAAOSwmGJkWGGA/s-l1600.jpg
RARE ORIGINAL WWF PROMO SIGNED THE ROCK ROCKY MAIVIA WWE JSA CERT Dwayne Johnson;Фотография;849.99;JSA;оригинальное промо Rocky Maivia · ВНИМАНИЕ: похоже на посвящение «To Ron» — уточнить;https://www.ebay.com/itm/257571734906;https://i.ebayimg.com/images/g/cPIAAeSwnCNqMuSF/s-l1600.jpg
