Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Michael Jackson I Want You Back Signed Autograph Photo Record Album Cove PSA DNA;ПЛАСТИНКИ;Michael Jackson I Want You Back Signed Autograph Photo Record Album Cove PSA DNA. Международная сертификация подлинности: PSA/DNA.;900000;RUB;PSA/DNA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/H~gAAOSwKKhmmUsi/s-l1600.jpg;2999.99;https://www.ebay.com/itm/375544480046?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xC62HKMJTbhYYDy81S508wNIXb581vk6Tk%2FOZxDGPRsyFazoGQmLYR%2F3lMV%2Bfcds4cIgLy4DxnaGo7%2FL7Gnev4Dfc%2F%2Bdw3uiq45bcAetge2d%2BypJT4--dqVlwH9N44mIgsm9ek1wBUfOXJTq4%2FyetQMI%2BvKyNp1526CXej9OKcZdRKXJ8H%2FWdyX0lWTDtEfsDA%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson SIGNED Original VINYL GOT TO BE THERE JSA LP BAD THRILLER LP;ПЛАСТИНКИ;Michael Jackson SIGNED Original VINYL GOT TO BE THERE JSA LP BAD THRILLER LP. Международная сертификация подлинности: JSA — письмо.;1000000;RUB;JSA — письмо;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/HOQAAeSw0Idp8Y7Q/s-l1600.jpg;3499.99;https://www.ebay.com/itm/227321199028?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDXl7KjhDbjAfWW4qw%2BtLnf39DvHsD8EdP6MXf0rbVIuVzvg%2B1BGs5EDUboki7Bs3zLCqe28Rf5%2BJlGK%2FwhOYJ0N4S%2BxUZ8mvC%2BZq2jF%2BWmDt4ZrHemp%2F%2BpW%2BHkBKybNtBlgTSnxZyr8PeZpsXDK%2F2Tp8nWEmDFYevFLEfe30yo3wrmqNrx4usTsE1c2jU%2FjWg%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed Album Vinyl Farewell My Summer Love Autograph PSA/DNA LOA;ПЛАСТИНКИ;Michael Jackson Signed Album Vinyl Farewell My Summer Love Autograph PSA/DNA LOA. Международная сертификация подлинности: PSA/DNA — LOA.;1050000;RUB;PSA/DNA — LOA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/sy0AAeSwWORpKyf-/s-l1600.jpg;3799.99;https://www.ebay.com/itm/177627357855;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Japanese SIGNED THRILLER INSTRUMENTAL VINYL Single JSA MJ RARE;ПЛАСТИНКИ;Michael Jackson Japanese SIGNED THRILLER INSTRUMENTAL VINYL Single JSA MJ RARE. Международная сертификация подлинности: JSA — письмо.;1750000;RUB;JSA — письмо;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/eGgAAeSwrmRp8ZUP/s-l1600.jpg;7499.99;https://www.ebay.com/itm/327129203426?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAI73JHLIFKgwk569ab%2F16G53jrgLDpskoS%2FJtGmQEugbS1%2FDr8bZpbZ1%2BPTPi7czOqlA0pgM8HBmegqnMaGYSF2Mafr0Iufp4vndfakGYlRAy8xJhv1i%2Fa%2FaWKmKSmuO%2FDAosKvcKNiEJiSFg5V7%2BXS4WFuOCi3GwO8GspdtxGz4Y0kHMtsMs8MIgUgvyT%2BSI%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
MICHAEL JACKSON FIVE SIGNED Vinyl 1st Press MAYBE TOMORROW 1971 EX PSA Authentic;ПЛАСТИНКИ;MICHAEL JACKSON FIVE SIGNED Vinyl 1st Press MAYBE TOMORROW 1971 EX PSA Authentic. Международная сертификация подлинности: PSA.;1850000;RUB;PSA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/x1kAAeSwYJRoyLG8/s-l1600.jpg;8250;https://www.ebay.com/itm/365930469440;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed Thriller LP PSA/DNA LOA #191028 Early QE38112 Vinyl;ПЛАСТИНКИ;Michael Jackson Signed Thriller LP PSA/DNA LOA #191028 Early QE38112 Vinyl. Международная сертификация подлинности: PSA/DNA — полное письмо #191028.;2400000;RUB;PSA/DNA — полное письмо #191028;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/dSwAAeSweVhqHg1N/s-l1600.jpg;11900;https://www.ebay.com/itm/398016221532;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed Vinyl Bad RARE PSA LOA;ПЛАСТИНКИ;Michael Jackson Signed Vinyl Bad RARE PSA LOA. Международная сертификация подлинности: PSA — LOA.;3000000;RUB;PSA — LOA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/Z5UAAeSwObdqVTIB/s-l1600.jpg;16500;https://www.ebay.com/itm/147434242291?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDWGRDSmQ1PkPYkN0fZn9qQmp8saJW3GyryqgqyYzDCYDHIujL3FPYnZm2BrT4kXQDkuGrH196sCkkeAL0pxw4VPuAnMSWZRoq7U%2BkR4S99TFp4biULMc0t3%2B34sp6QBlGnkJX1pRChG507zvgf3jk6H%2B6I8HSeU46w%2FUSI2SloIKQgatiX0ZYIVhd752Mg11M%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed Off The Wall Album Vinyl Autograph Authentic JSA COA;ПЛАСТИНКИ;Michael Jackson Signed Off The Wall Album Vinyl Autograph Authentic JSA COA. Международная сертификация подлинности: JSA.;4000000;RUB;JSA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/ZVYAAeSwhfVqKiK3/s-l1600.jpg;19999;https://www.ebay.com/itm/327207222528?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xCpf64FMq%2B%2F%2B9UxlsbDirWBGmziddhjebIDZGtNRuBsmwxtHVFVxmiYamRd6WpzEsTnd7WWcuvnFbI7paQ0vPOjhZZ28P2G0CEKgxWSWOfnXQipktvbzQPN622ZRdhFJB0IgYVETON0XvRJT5bTU1bbCL4r4VZ4ElRJoyC50BPx27dKnqiBY7jMxXeWBpbB9mI%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed Bad Vinyl Promo Album JSA Autograph Authentic Thriller;ПЛАСТИНКИ;Michael Jackson Signed Bad Vinyl Promo Album JSA Autograph Authentic Thriller. Международная сертификация подлинности: JSA.;3800000;RUB;JSA;ПЛАСТИНКИ;;https://i.ebayimg.com/images/g/T~4AAeSwPmNqEcvY/s-l1600.jpg;19999;https://www.ebay.com/itm/327174626555?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDAHba53f1tItwBPU6NUCsHCLnnZKvbRKp3QjPVbAo9ZOvlEweCj%2BxgVIPwNzK8s45%2F71sSQUkpMVwSyH%2FpN7pc3ir5f3kBkrcQYYE%2B9MR6qPx3EGaHeQhS6M6BnBFVVF4h%2Bsb%2FzLDsEwomqcunyDdk2x7gTPzgmbW1tcokefzu5UN1uzS52UUCqlKZ2Mjp2V8%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Michael Jackson Signed 16x20 Photo Billie Jean Era JSA Full LOA Large Auto RARE;ФОТО;Michael Jackson Signed 16x20 Photo Billie Jean Era JSA Full LOA Large Auto RARE. Международная сертификация подлинности: JSA — ПОЛНОЕ ПИСЬМО.;1300000;RUB;JSA — ПОЛНОЕ ПИСЬМО;ФОТО;;https://i.ebayimg.com/images/g/PrYAAeSweFVp4pcZ/s-l1600.jpg;6999;https://www.ebay.com/itm/397851526495?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAGwUScMOp2hdcS1pnpQ8HF9PJip0gvr3Mr%2FimZOMByPsDL9OSv9OgKHniOUv82UHOECEMVta3pVTu6GviJYMqxbWpfhmF9Qhc%2BKF6uRi1srnzXTWLZwy9FadbLNu8vcB7U2Q%2BhxnI39%2FCeyJZcLz1tScrO0gs8TjYSUx%2F%2B1t5L%2B2w4IEUqNq14hgQiSK2L0G8%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
