Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
LARS ULRICH SIGNED METALLICA 11x14 PHOTO C w/EXACT VIDEO PROOF & BECKETT BAS COA;МЕТАЛЛИКА · давали раньше;LARS ULRICH SIGNED METALLICA 11x14 PHOTO C w/EXACT VIDEO PROOF & BECKETT BAS COA. Международная сертификация подлинности: Beckett + видеопруф.;220000;RUB;Beckett + видеопруф;МЕТАЛЛИКА · давали раньше;;https://i.ebayimg.com/images/g/FlIAAOSw8wJe9pIX/s-l1600.jpg;199.95;https://www.ebay.com/itm/221865182878;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Lars Ulrich Signed Evans 10” Drumhead PSA DNA Autographed Metallica;МЕТАЛЛИКА · давали раньше;Lars Ulrich Signed Evans 10” Drumhead PSA DNA Autographed Metallica. Международная сертификация подлинности: PSA/DNA.;260000;RUB;PSA/DNA;МЕТАЛЛИКА · давали раньше;;https://i.ebayimg.com/images/g/cB8AAeSwPwtpFQgA/s-l1600.jpg;216.63;https://www.ebay.com/itm/336283703277;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Lars Ulrich of Metallica signed 10 inch Remo Drumhead JSA  Coa;МЕТАЛЛИКА · давали раньше;Lars Ulrich of Metallica signed 10 inch Remo Drumhead JSA  Coa. Международная сертификация подлинности: JSA.;260000;RUB;JSA;МЕТАЛЛИКА · давали раньше;;https://i.ebayimg.com/images/g/KTYAAeSw0uRpjWRq/s-l1600.jpg;249;https://www.ebay.com/itm/257356483265;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
"Lars Ulrich Metallica Signed 12"" Drumhead Beckett";МЕТАЛЛИКА · давали раньше;"Lars Ulrich Metallica Signed 12"" Drumhead Beckett. Международная сертификация подлинности: Beckett.";290000;RUB;Beckett;МЕТАЛЛИКА · давали раньше;;https://i.ebayimg.com/images/g/ul8AAeSw3KdpaQfO/s-l1600.jpg;599.99;https://www.ebay.com/itm/137512448795;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
METALLICA LARS ULRICH ROBERT TRUJILLO BAND SIGNED 11x14 PHOTO BECKETT X2 PROOF C;МЕТАЛЛИКА · вся группа;METALLICA LARS ULRICH ROBERT TRUJILLO BAND SIGNED 11x14 PHOTO BECKETT X2 PROOF C. Международная сертификация подлинности: Beckett + двойной пруф.;320000;RUB;Beckett + двойной пруф;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/byYAAOSwFY9ggiGY/s-l1600.jpg;297.49;https://www.ebay.com/itm/176015840383?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAQ3vIi06BmPAzIreM6VDze5QwVHeGzKZAAoM99huTXPmojQu4tWwYBmLrZtPr0LYpfG27EC4Q1uuG2La30hzB3DoXX%2FxdNV2280%2BfHBkeqvmMCoO20mOZCzZgEy83VfSS9Z3Tmsa%2BZNDSTG1tPgGLL1BAXPiBvTy9rdupdVkAU484uO7uPp%2FbYoSTp2lR9l2k%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
2009 METALLICA FULLY SIGNED TICKET  - HETFIELD TRUJILLO HAMMETT ULRICH PSA 3;МЕТАЛЛИКА · вся группа;2009 METALLICA FULLY SIGNED TICKET  - HETFIELD TRUJILLO HAMMETT ULRICH PSA 3. Международная сертификация подлинности: PSA.;700000;RUB;PSA;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/cP4AAeSwPGtqXliw/s-l1600.jpg;1500;https://www.ebay.com/itm/257661694404?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDU49Zbute4TcAE2KuNpBn1lQ8cSRJL8xozki84RK8pKiCLkGL7zj%2FBRQX9658iLPwMHF%2BhpKec30C3re32t5%2BZWi1vb3GGE2DGYQDy6U2eTzKvvF2WJx7JRxacXVY5zgCbA2IY3pT--F5FWxveJDf6kHNl7FlUclv5DR6px9FR9cGo%2BPvp6yMIYUf4FMStYrM%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Metallica Band Signed Autographed Guitar Hero Pickguard BAS Certified;МЕТАЛЛИКА · вся группа;Metallica Band Signed Autographed Guitar Hero Pickguard BAS Certified. Международная сертификация подлинности: Beckett.;900000;RUB;Beckett;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/qRAAAeSwmnNpW~Uv/s-l1600.jpg;2299.99;https://www.ebay.com/itm/317735269273;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Metallica Band Signed Autographed 8X10 Photo Hetfield Ulrich +2 JSA YY91688;МЕТАЛЛИКА · вся группа;Metallica Band Signed Autographed 8X10 Photo Hetfield Ulrich +2 JSA YY91688. Международная сертификация подлинности: JSA.;750000;RUB;JSA;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/ivEAAeSw1ihqaqGy/s-l1600.jpg;2499.99;https://www.ebay.com/itm/358860130611;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
METALLICA X4 JAMES HETFIELD SIGNED THE BLACK ALBUM 8X10 PROMO PHOTO (1991) JSA;МЕТАЛЛИКА · вся группа;METALLICA X4 JAMES HETFIELD SIGNED THE BLACK ALBUM 8X10 PROMO PHOTO (1991) JSA. Международная сертификация подлинности: JSA.;950000;RUB;JSA;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/JYsAAOSw1LBnxvWU/s-l1600.jpg;3499.95;https://www.ebay.com/itm/257654675373;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
METALLICA X4 JAMES HETFIELD SIGNED CONCERT USED DRUMHEAD 11/20/1991 PSA LOA;МЕТАЛЛИКА · вся группа;METALLICA X4 JAMES HETFIELD SIGNED CONCERT USED DRUMHEAD 11/20/1991 PSA LOA. Международная сертификация подлинности: PSA — полное письмо.;1900000;RUB;PSA — полное письмо;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/FzUAAeSwYDloigmD/s-l1600.jpg;7999.95;https://www.ebay.com/itm/257654675114;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
