Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Ray Liotta Autographed Field of Dreams 11×14 w/ Beckett Authentication;АВТОГРАФЫ · ПЕШИ И ЛИОТТА;Ray Liotta Autographed Field of Dreams 11×14 w/ Beckett Authentication. Международная сертификация подлинности: Beckett/BAS.;160000;RUB;Beckett/BAS;АВТОГРАФЫ · ПЕШИ И ЛИОТТА;;https://i.ebayimg.com/images/g/dTUAAOSwqA5oQmDr/s-l1600.jpg;169.49;https://www.ebay.com/itm/355386198596;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
1990's -JOE PESCI- BECKETT Signed/Autograph/Auto GOODFELLAS Vintage 8x10 Photo;АВТОГРАФЫ · ПЕШИ И ЛИОТТА;1990's -JOE PESCI- BECKETT Signed/Autograph/Auto GOODFELLAS Vintage 8x10 Photo. Международная сертификация подлинности: Beckett/BAS.;165000;RUB;Beckett/BAS;АВТОГРАФЫ · ПЕШИ И ЛИОТТА;;https://i.ebayimg.com/images/g/ZZ8AAeSwiwRp-2j0/s-l1600.jpg;249.99;https://www.ebay.com/itm/267707585932;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
HARVEY KEITEL Signed 8x10 Photo With JSA COA bas psa Pulp Fiction Reservoir Dogs;АВТОГРАФЫ · КЕЙТЕЛЬ;HARVEY KEITEL Signed 8x10 Photo With JSA COA bas psa Pulp Fiction Reservoir Dogs. Международная сертификация подлинности: JSA.;150000;RUB;JSA;АВТОГРАФЫ · КЕЙТЕЛЬ;;https://i.ebayimg.com/images/g/tnMAAOSwxXdm413o/s-l1600.jpg;159.99;https://www.ebay.com/itm/186683087006;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Harvey Keitel Signed 8x10 Promo Photo Reservoir Dogs Personalized JSA COA;АВТОГРАФЫ · КЕЙТЕЛЬ;Harvey Keitel Signed 8x10 Promo Photo Reservoir Dogs Personalized JSA COA. Международная сертификация подлинности: JSA.;160000;RUB;JSA;АВТОГРАФЫ · КЕЙТЕЛЬ;;https://i.ebayimg.com/images/g/D1cAAeSwSoJpapOA/s-l1600.jpg;159.98;https://www.ebay.com/itm/177783966776;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
-HARVEY KEITEL- JSA Signed/Autograph/Auto 8x10 Movie Photo - PULP FICTION;АВТОГРАФЫ · КЕЙТЕЛЬ;-HARVEY KEITEL- JSA Signed/Autograph/Auto 8x10 Movie Photo - PULP FICTION. Международная сертификация подлинности: JSA.;160000;RUB;JSA;АВТОГРАФЫ · КЕЙТЕЛЬ;;https://i.ebayimg.com/images/g/k3QAAeSwvg9oqJuT/s-l1600.jpg;199.99;https://www.ebay.com/itm/800263400530;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Harvey Keitel Signed Autograph Taxi Driver Movie Poster PSA/DNA COA;АВТОГРАФЫ · КЕЙТЕЛЬ;Harvey Keitel Signed Autograph Taxi Driver Movie Poster PSA/DNA COA. Международная сертификация подлинности: PSA/DNA.;170000;RUB;PSA/DNA;АВТОГРАФЫ · КЕЙТЕЛЬ;;https://i.ebayimg.com/images/g/IXsAAOSwOhNa7K34/s-l1600.jpg;249.99;https://www.ebay.com/itm/167555242735;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
HARVEY KEITEL SIGNED RESERVOIR DOGS FULL 103 PAGE SCRIPT w/PROOF BECKETT BAS COA;АВТОГРАФЫ · КЕЙТЕЛЬ;HARVEY KEITEL SIGNED RESERVOIR DOGS FULL 103 PAGE SCRIPT w/PROOF BECKETT BAS COA. Международная сертификация подлинности: Beckett + фотопруф.;190000;RUB;Beckett + фотопруф;АВТОГРАФЫ · КЕЙТЕЛЬ;;https://i.ebayimg.com/images/g/qCYAAOSwaHlfe3BV/s-l1600.jpg;199.99;https://www.ebay.com/itm/221951000036;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Francis Ford Coppola Signed Authentic Autographed 8x10 Photo JSA #AF76033;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;Francis Ford Coppola Signed Authentic Autographed 8x10 Photo JSA #AF76033. Международная сертификация подлинности: JSA.;175000;RUB;JSA;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;;https://i.ebayimg.com/images/g/cakAAOSwYVlja9MT/s-l1600.jpg;149.99;https://www.ebay.com/itm/385222148587;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Brian De Palma Signed Autograph 8x10 Photo  Scarface Carrie JSA COA;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;Brian De Palma Signed Autograph 8x10 Photo  Scarface Carrie JSA COA. Международная сертификация подлинности: JSA.;150000;RUB;JSA;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;;https://i.ebayimg.com/images/g/VSYAAeSw5V9pTGfd/s-l1600.jpg;150;https://www.ebay.com/itm/317694670625?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xB7Y91UxomS%2FibMo3qYAiIgGssHHd5g3fHGCeUaeFap%2FOWTZ5YyJ%2BtwXUL62URU5oby4a7uo3K38yJxa%2FmxopoMgV9c1Y41mxnFl2ZhIOn8Xh5jxzG%2BXzLs4TEhOF47TLphOC87NPecvqXBIctUA9xXlfv7QExFVFOL0IG92MCpU6jJ0kJdMZ9ldUb1rMM%2B%2B6E%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Francis Ford Coppola Godfather Oscar Winner Signed Auto 8x10 PHOTO Beckett BAS;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;Francis Ford Coppola Godfather Oscar Winner Signed Auto 8x10 PHOTO Beckett BAS. Международная сертификация подлинности: Beckett/BAS.;175000;RUB;Beckett/BAS;АВТОГРАФЫ · КОППОЛА И ДЕ ПАЛЬМА;;https://i.ebayimg.com/images/g/w78AAOSwIydnS3qo/s-l1600.jpg;199.99;https://www.ebay.com/itm/356325063009;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
"Lorraine Bracco ""Goodfellas” Karen Hill Autographed 8x10 #2 w/ Ray Liotta JSA";ТА ЖЕ КОМПАНИЯ;"Lorraine Bracco ""Goodfellas” Karen Hill Autographed 8x10 #2 w/ Ray Liotta JSA. Международная сертификация подлинности: JSA.";90000;RUB;JSA;ТА ЖЕ КОМПАНИЯ;;https://i.ebayimg.com/images/g/fEoAAOSwYIJi5UM1/s-l1600.jpg;39.95;https://www.ebay.com/itm/327258526293;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Tony Darrow signed 8x10 Goodfellas Rob De Niro Ray Liotta Joe Pesci Scorsese JSA;ТА ЖЕ КОМПАНИЯ;Tony Darrow signed 8x10 Goodfellas Rob De Niro Ray Liotta Joe Pesci Scorsese JSA. Международная сертификация подлинности: JSA.;90000;RUB;JSA;ТА ЖЕ КОМПАНИЯ;;https://i.ebayimg.com/images/g/gRYAAOSwsL1lLSGu/s-l1600.jpg;49.99;https://www.ebay.com/itm/225817467216;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
